YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,RH2M,T2M
2021,5,2,100.25,5.02,7.57,3.11,4.46,261.12,6.7,8.31,4.73,3.59,261.38,46.75,32.01
2021,5,3,100.21,4.76,7.77,2.59,5.16,258.69,6.25,8.7,4.13,4.57,258.62,45.75,31.75
2021,5,4,100.14,5.32,6.85,4.04,2.81,259.44,6.68,7.61,5.78,1.82,260,49.88,31.69
2021,5,5,100.16,5.73,8.38,3.34,5.04,261.56,7.15,9.61,6.09,3.52,262.69,53.38,31.94
2021,5,6,100.17,4.8,6.79,3.45,3.34,257.12,6.03,8.15,3.9,4.25,258.12,52.81,31.86
2021,5,7,100.28,3.41,7.55,0.8,6.76,261,4.55,9.17,1.02,8.15,248.75,52.19,32.36
2021,5,8,100.16,4.73,7.77,1.89,5.88,272.88,5.76,9.55,1.73,7.83,275,46.81,33.35
2021,5,9,100,5.12,8.34,1.62,6.73,265.19,6.19,9.7,1.5,8.2,266.12,48.38,33.4
2021,5,10,100,6.34,8.52,3.64,4.88,248.69,7.55,9.61,6.2,3.41,249.75,56.38,31.91
2021,5,11,100.01,6.92,8.9,5.02,3.88,245.12,8.22,9.79,6.99,2.8,245.56,56.94,31.82
2021,5,12,99.85,7.52,9.92,5.37,4.55,240.19,8.95,11.11,7.02,4.09,240.88,60.69,31.21
2021,5,13,99.7,8.06,9.47,5.67,3.8,237.5,9.59,10.58,7.2,3.38,238.25,61.25,31.28
2021,5,14,99.66,5.8,7.81,4.29,3.52,236.88,6.88,8.49,5.8,2.7,237.5,61.31,31.52
2021,5,15,99.62,2.51,4.47,0.61,3.86,212.94,3.42,6.02,0.82,5.2,210.31,51.06,33.09
2021,5,16,99.59,4.63,5.81,2.92,2.9,121.38,6.94,9.95,4.45,5.51,122.44,50.62,33.64
2021,5,17,99.63,6.91,9.79,5.16,4.63,50.38,8.9,11.96,6.81,5.16,51.25,63.62,30.42
2021,5,18,99.46,9.17,13.21,4.52,8.7,33.19,11.62,15.73,7.22,8.52,33.81,65.5,30.08
2021,5,19,99.72,4.44,5.13,2.18,2.95,308.62,6.12,7.97,3.45,4.52,309.31,60.12,30.65
2021,5,20,99.86,5.57,7.1,3.5,3.59,225.94,7.5,8.77,6,2.76,225.88,60.25,31.3
